daterange_wiki,title_wiki,year_wiki,source_wiki,link_wiki,developer_wiki,publisher_wiki,releasedate_wiki,genre_wiki,engine_wiki,director_wiki,artist_wiki,composer_wiki,platform_wiki,designer_wiki,writer_wiki,programmer_wiki,mode_wiki,summary_wiki,background_wiki
19-26 November 2020,Elite: Dangerous,2020,https://www.igromania.ru/news/99975/V_Epic_Games_Store_besplatno_otdayut_Elite_Dangerous_i_The_World_Next_Door.html,https://en.wikipedia.org/wiki/Elite%3A_Dangerous,Frontier Developments,Frontier Developments,"Windows16 December 2014, macOS12 May 2015, Xbox One6 October 2015, PlayStation 427 June 2017",,Cobra,,,,,,,,,"Elite Dangerous is an online space, trading, exploration and combat simulation developed and published by Frontier Developments. The player commands a spaceship in a realistic 1:1 scale open-world representation of the Milky Way, with open-ended gameplay.  Players can explore and engage with a procedurally generated galaxy, which includes around 400 billion star systems. The procedural system allows landing on planets with no or tenuous atmospheres. Many planets have special flora, fauna including alien and human settlements.","Elite Dangerous is the fourth game in the Elite series and the sequel to Frontier: First Encounters (1995). It is the first Elite game to feature massively multiplayer and first-person on foot gameplay, space colonization of star systems, and player actions affect the overarching story of the persistent universe, while retaining a single-player mode.

In November 2012, Frontier began a Kickstarter campaign for Elite Dangerous to test-market the concept, verify broader interest and raise funds. It was released for Windows in December 2014, macOS in May 2015, Xbox One in October 2015 and PlayStation 4 in June 2017. Elite Dangerous supports most virtual reality headsets on Windows. Development was led by David Braben until August 2022."
26 November - 3 December 2020,MudRunner,2020,https://www.igromania.ru/news/100188/V_Epic_Games_Store_nachalas_besplatnaya_razdacha_MudRunner.html,https://en.wikipedia.org/wiki/MudRunner,Saber Interactive,Focus Home Interactive,"Windows, PS4, Xbox OneOctober 31, 2017Nintendo SwitchNovember 27, 2018Android, iOSJuly 15, 2020",Vehicle simulation,Havok,,,,,,,,,"MudRunner (formerly Spintires: MudRunner) is a 2017 off-roading simulation game developed by Saber Interactive and published by Focus Home Interactive. It was released on October 31, 2017 for Microsoft Windows, PlayStation 4, and Xbox One and is a spin-off/sequel of the 2014 Windows-exclusive Spintires, which was developed by Oovee Game Studios. Similar to Spintires, MudRunner has the player control off-road vehicles as they traverse locations to complete objectives. The game was released in Japan on Nintendo Switch on June 18, 2020. A sequel to MudRunner was released on April 28, 2020 titled SnowRunner.",
3-10 December 2020,Cave Story+,2020,https://dtf.ru/sale/275563-10-dekabrya-v-epic-games-store-nachnetsya-razdacha-pillars-of-eternity-i-tyranny,https://en.wikipedia.org/wiki/Cave_Story%2B,Studio Pixel,,"December 20, 2004, Microsoft WindowsJP: 20 December 2004Cave Story+WW: 22 November 2011WiiNA: 22 March 2010EU: 10 December 2010Nintendo DSiNA: 29 November 2010JP: 22 November 2011Nintendo 3DSNA: 4 October 2012EU: 1 May 2014JP: 30 September 2015Cave Story 3DNA: 8 November 2011EU: 11 November 2011AU: 24 November 2011JP: 26 July 2012LinuxWW: 13 December 2011Nintendo SwitchNA: 20 June 2017PAL: 20 July 2017JP: 8 February 2018",Metroidvania,,,,,,Daisuke Amaya,Daisuke Amaya,,,,
10-17 December 2020,Pillars of Eternity,2020,https://www.igromania.ru/news/100638/V_Epic_Games_Store_razdayut_polnye_izdaniya_Pillars_of_Eternity_i_Tyranny.html,https://en.wikipedia.org/wiki/Pillars_of_Eternity,Obsidian Entertainment,,"Windows, OS X, LinuxMarch 26, 2015PlayStation 4, Xbox OneAugust 29, 2017Nintendo SwitchAugust 8, 2019",Role-playing,Unity,Josh Sawyer,Rob Nesler,Justin E. Bell,,,,Adam Brennecke,Single-player,,
17 December 2020,Cities: Skylines,2020,https://dtf.ru/sale/289707-v-epic-game-store-nachalas-novogodnyaya-rasprodazha-s-razdachey-cities-skylines,https://en.wikipedia.org/wiki/Cities%3A_Skylines,,Paradox Interactive,"Linux, macOS, Windows10 March 2015Xbox One21 April 2017PlayStation 415 August 2017Nintendo Switch13 September 2018Google Stadia17 May 2022PS5, Xbox Series X/S15 February 2023",,Unity,,Antti Isosomppi,,,,,,Single-player,"Cities: Skylines is a 2015 city-building game developed by Colossal Order and published by Paradox Interactive. The game is a single-player open-ended city-building simulation. Players engage in urban planning by controlling zoning, road placement, taxation, public services, and public transportation of an area. They also work to manage various elements of the city, including its budget, health, employment, traffic, and pollution levels. It is also possible to maintain a city in a sandbox mode, which provides more creative freedom for the player.","Cities: Skylines is a progression of development from Colossal Order's previous Cities in Motion titles, which focused on designing effective transportation systems. While Colossal felt they had the technical expertise to expand the Cities gameplay into a more full-featured city simulation game, their publisher Paradox Interactive initially held off on the idea, fearing the market dominance of the SimCity series. However, they reconsidered after the critical failure of the 2013 SimCity game, which provided an opportunity for Paradox to establish a competing franchise. Colossal's goal was to create a game engine capable of simulating the daily routines of nearly a million unique citizens, while presenting this to the player in a simple way, allowing the player to easily understand various problems in their city's design. This includes realistic traffic congestion, and the effects of congestion on city services and districts. Since the game's release, various expansions and other DLC have been released for the game. The game also has built-in support for user-generated content.

The game was first released for the Windows, macOS, and Linux operating systems on 10 March 2015. Console ports by Tantalus Media were released for the Xbox One and PlayStation 4 game consoles in 2017, for the Nintendo Switch in September 2018, and for Google Stadia in May 2022. A remastered edition, also by Tantalus, was released for the PlayStation 5 and Xbox Series X/S in February 2023. The game received favourable reviews from critics, and was a commercial success, with more than twelve million copies sold on all platforms as of June 2022."
18 December 2020,Oddworld: New ’n’ Tasty!,2020,https://www.igromania.ru/news/100909/V_Epic_Games_Store_v_techenie_sutok_otdayut_Oddworld_New_,,,,,,,,,,,,,,,,
19 December 2020,The Long Dark,2020,https://www.igromania.ru/news/100932/V_Epic_Games_Store_v_techenie_sutok_otdayut_The_Long_Dark.html,https://en.wikipedia.org/wiki/The_Long_Dark,Hinterland,Hinterland,"Linux, macOS, Windows, PlayStation 4, Xbox OneAugust 1, 2017Nintendo SwitchSeptember 17, 2020Xbox Series X/SJune 19, 2025PlayStation 5November 11, 2025",Survival,Unity,Raphael van Lierop,,,,,Raphael van Lierop,,Single-player,"The Long Dark is a 2017 survival video game developed and published by Hinterland. The player assumes the roles of crash-landed bush pilot Will Mackenzie and medical doctor Astrid Greenwood who must survive the frigid Canadian wilderness after a geomagnetic storm. The game received seed financing from the Canada Media Fund, and further funding was secured through a successful Kickstarter campaign in October 2013.","An alpha version was released through Steam Early Access in September 2014. The alpha version was later launched on the Xbox One as one of the first two launch titles associated with Microsoft's Game Preview Program in June 2015. Early reviews of the alpha release were generally positive, and the game went on to sell around 750,000 copies by April 2016. It was officially released on all aforementioned platforms on August 1, 2017, as well as for PlayStation 4. In 2017, it was announced that a film adaptation of The Long Dark was in the works. A Nintendo Switch port was announced and released on September 17, 2020.

On December 12, 2024, a sequel titled Blackfrost: The Long Dark 2 was announced."
20 December 2020,Defense Grid: The Awakening,2020,https://www.igromania.ru/news/100946/Novoy_besplatnoy_igroy_v_Epic_Games_Store_stala_Defense_Grid_The_Awakening.html,https://en.wikipedia.org/wiki/Defense_Grid%3A_The_Awakening,Hidden Path Entertainment,,"Microsoft WindowsWW: December 8, 2008Xbox 360WW: September 2, 2009OS XWW: July 7, 2010",Tower defense,Gamebryo,,,,,Michael Austin,,,Single-player,"Defense Grid: The Awakening is a tower defense video game developed by Hidden Path Entertainment for Windows and Xbox Live Arcade on the Xbox 360. The game was one of the titles promoted by Microsoft during their Game Developers Conference keynote speech on February 20, 2008. The game was released for Microsoft Windows on December 8, 2008, and for Xbox 360 on September 2, 2009. The OS X version shipped from Virtual Programming on July 7, 2010.","Players must defend military bases from waves of attacking aliens by positioning a range of tower-based weaponry. New levels provided as downloadable content have been developed in the two years since the game's initial release. Reviewers praised the game, with many noting that the quality of the game was high for a budget title.

From July 1 to July 16 of 2013, Microsoft made the game available free to Xbox 360 Gold members. This giveaway was part of Microsoft's ""Games With Gold"" Program."
21 December 2020,Alien: Isolation,2020,https://www.igromania.ru/news/100959/V_Epic_Games_Store_v_techenie_24_chasov_otdayut_Alien_Isolation.html,https://en.wikipedia.org/wiki/Alien%3A_Isolation,Creative Assembly,Sega,"7 October 2014, PS3, PS4, Win, X360, XOne7 October 2014Linux29 September 2015OS X28 October 2015Nintendo Switch5 December 2019Android, iOS16 December 2021",,,Alistair Hope,Jude Bond,,,,,Clive Gratton,Single-player,,
22 December 2020,Metro 2033 Redux,2020,https://www.igromania.ru/news/100997/Metro_2033_Redux_stala_besplatnoy_na_24_chasa_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/Metro_2033_Redux,4A Games,,"16 March 2010, Windows, Xbox 360NA: 16 March 2010AU: 18 March 2010EU: 19 March 2010PlayStation 4, Xbox OneNA: 26 August 2014EU: 29 August 2014AU: 4 September 2014LinuxWW: 11 December 2014OS XWW: 14 April 2015Nintendo SwitchWW: 28 February 2020StadiaWW: 23 June 2020",First-person shooter,4A Engine,Andrew Prokhorov,Andrey Tkachenko,,,Viacheslav Aristov,,,Single-player,,
23 December 2020,Tropico 5,2020,https://www.igromania.ru/news/101038/Tropico_5_v_techenie_sutok_otdayut_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/Tropico_5,Haemimont Games,Kalypso Media,"Microsoft WindowsWW: 23 May 2014, OS X, LinuxWW: 19 September 2014, Xbox 360WW: 11 November 2014, PlayStation 4EU: 24 April 2015NA: 28 April 2015, Xbox OneNA: 24 May 2016AU: 26 May 2016EU: 27 May 2016",,,Gabriel Dobrev,,,,Boian Spasov,,Alexander Andonov,,"Tropico 5 is a construction and management simulation video game developed by Haemimont Games. It was released for Microsoft Windows in May 2014, with versions for Linux, OS X and Xbox 360 released later in 2014 as well as versions for PlayStation 4 and Xbox One released in April 2015 and May 2016 respectively.","For the first time in the Tropico series the game features cooperative and competitive multiplayer for up to four players. The players are able to build cities on the same island, allowing the choice of working with one another, or against."
24 December 2020,Inside,2020,https://www.igromania.ru/news/101069/Inside_stala_na_24_chasa_besplatnoy_v_Epic_Games_Store.html,https://en.wikipedia.org/wiki/Inside,,,,,,,,,,,,,,,
25 December 2020,Darkest Dungeon,2020,https://www.igromania.ru/news/101097/Darkest_Dungeon_besplatno_razdayut_v_Epic_Games_Store-ostalos_24_chasa.html,https://en.wikipedia.org/wiki/Darkest_Dungeon,Red Hook Studios,Red Hook Studios,"January 19, 2016, Windows, OS XJanuary 19, 2016LinuxApril 26, 2016PlayStation 4, PS VitaSeptember 27, 2016iPadOSAugust 24, 2017Nintendo SwitchJanuary 18, 2018Xbox OneFebruary 28, 2018",,,Chris Bourassa,,Stuart Chatwood,,Tyler Sigman,,,Single-player,"Darkest Dungeon is a roguelike role-playing video game developed and published by Red Hook Studios. The game was first released for Microsoft Windows and OS X in January 2016, which followed a year-long early access development period. Later that year, it was released for PlayStation 4, PlayStation Vita, and Linux, with a port for iOS being released in 2017, and ports for Nintendo Switch and Xbox One being released by 2018.","Darkest Dungeon has the player manage a roster of heroes to explore dungeons below a gothic mansion the player has inherited. Played out in a mix of real-time movement and turn-based combat, a core feature of Darkest Dungeon is the stress level of each hero that increases with further exploration and combat; a character sustaining a high-stress level may gain afflictions that will hamper, or possibly enhance, their performance as an explorer. The Stress Symbol, or Iron Crown, a crescent with five inward-facing spikes, is also in the game's logo.

The game received positive reviews from critics, garnering several award nominations, and went on to sell over two million copies. A sequel, Darkest Dungeon II, was released in May 2023 and a board game adaptation is also in development."
